"id","title","author","year"
2432,"O Encontrado Segredo","Flávio Ribeiro",2022
2433,"O Encontrado Jogador","Rafael Fonseca",2011
2434,"O Sensasional Tesouro","Diego Ribeiro",2017
2435,"A Primeiro Mansao","Francisco Batista",2015
2436,"A Perdido Ditador","Giovanna Fonseca",2015
2437,"O Sensasional Mistério","Léo Barros",2020
2438,"O Último Médico","Eduardo Souza",2022
2439,"A Pequeno Jogador","Valdir Marques",2021
2440,"O Novo Destino","Gustavo Braga",2011
2441,"A Segundo Segredo","João Borges",2014
2442,"A Perdido Tesouro","Ivan Batista",2019
2443,"A Grande Mestre","Rosana Teixeira",2017
2444,"O Último Desafio","Lauro Monteiro",2022
2445,"O Perdido Sonho","Tatiana Oliveira",2020
2446,"A Pequeno Mestre","Erick Correia",2021
2447,"A Segundo Caminho","Lauro Lopes",2015
2448,"A Primeiro Mistério","Pedro Sampaio",2021
2449,"A Pequeno Mansao","Isaac Monteiro",2017
2450,"A Velho Ditador","Aline Machado",2012
2451,"A Novo Mistério","Lucas Ferreira",2018
2452,"O Grande Imperador","Raul Souza",2021
2453,"A Primeiro Ditador","Roberta Braga",2012
2454,"A Perdido Amor","Otávio Correia",2020
2455,"O Velho Caminho","Aline Azevedo",2014
2456,"A Sensasional Mestre","Enzo Carvalho",2016
2457,"O Pequeno Ditador","Guilherme Silva",2014
2458,"O Grande Jogador","Aline Machado",2012
2459,"A Segundo Médico","Samuel Borges",2011
2460,"A Terceiro Filosofo","Rosana Carvalho",2015
2461,"A Terceiro Desafio","Adriana Braga",2013
2462,"O Segundo Jogador","Aline Martins",2013
2463,"O Quarto Casa","Luiza Pires",2018
2464,"A Grande Sonho","Igor Almeida",2016
2465,"A Velho Mansao","Marcos Tavares",2017
2466,"A Último Mestre","Juliano Teixeira",2019
2467,"O Terceiro Imperador","José Vieira",2019
2468,"O Quarto Caminho","Luiza Campos",2012
2469,"O Primeiro Desafio","Daniel Rodrigues",2023
2470,"A Grande Casa","Francisco Lopes",2016
2471,"A Sensasional Mestre","Helena Batista",2014
2472,"O Novo Mansao","Marcos Lopes",2013
2473,"O Quarto Ditador","Pedro Pereira",2014
2474,"O Grande Desafio","Adriana Ramalho",2023
2475,"A Segundo Segredo","Sabrina Leal",2011
2476,"O Novo Ditador","Patrícia Cardoso",2023
2477,"A Velho Ditador","Simone Nunes",2011
2478,"A Grande Sonho","Raquel Monteiro",2012
2479,"A Primeiro Desafio","Samuel Rodrigues",2020
2480,"O Último Caminho","Eliane Almeida",2010
2481,"A Novo Desafio","Nelson Andrade",2014
2482,"O Grande Tesouro","Amanda Souza",2017
2483,"A Encontrado Desafio","Bianca Pereira",2013
2484,"A Sensasional Médico","Adriana Santos",2016
2485,"A Pequeno Casa","Marcela Braga",2010
2486,"A Segundo Caminho","Paulo Azevedo",2015
2487,"O Perdido Sonho","Igor Rodrigues",2018
2488,"A Perdido Destino","Otávio Silva",2019
2489,"A Perdido Mansao","Samuel Freitas",2020
2490,"O Novo Imperador","Eliane Dias",2021
2491,"O Segundo Sonho","Simone Silva",2016
2492,"A Perdido Médico","Iris Leal",2019
2493,"O Quarto Destino","Hugo Gomes",2014
2494,"A Encontrado Segredo","Fernanda Barros",2023
2495,"O Perdido Tesouro","Júlia Almeida",2021
2496,"O Encontrado Amor","Guilherme Machado",2018
2497,"A Pequeno Casa","André Leal",2022
2498,"A Segundo Sonho","Bianca Mendes",2016
2499,"O Sensasional Jogador","Davi Lopes",2023
2500,"O Último Médico","Flávio Silva",2023
2501,"A Último Segredo","Flávio Andrade",2023
2502,"A Pequeno Médico","Gabriel Ribeiro",2010
2503,"O Grande Segredo","Juliano Rodrigues",2019
2504,"A Segundo Imperador","Diego Santos",2022
2505,"A Novo Destino","Clarice Moura",2016
2506,"A Primeiro Filosofo","Larissa Azevedo",2016
2507,"A Grande Destino","Vitória Cavalcanti",2018
2508,"A Primeiro Ditador","Gabriela Borges",2011
2509,"A Encontrado Mestre","Paula Nunes",2021
2510,"A Novo Mestre","Geraldo Coutinho",2019
2511,"A Sensasional Desafio","Beatriz Azevedo",2020
2512,"A Novo Caminho","Rosana Carvalho",2017
2513,"O Sensasional Destino","Lauro Martins",2023
2514,"A Novo Caminho","Ricardo Nunes",2010
2515,"A Segundo Segredo","Samuel Fonseca",2016
2516,"A Último Filosofo","João Teixeira",2019
2517,"O Pequeno Casa","Fabrício Pinheiro",2013
2518,"O Encontrado Mestre","Geraldo Correia",2015
2519,"A Pequeno Médico","Cristina Oliveira",2017
2520,"O Segundo Sonho","Vitor Andrade",2014
2521,"O Pequeno Mestre","Marcelo Leal",2023
2522,"A Quarto Ditador","Gabriela Coutinho",2023
2523,"A Grande Mistério","Iris Fonseca",2011
2524,"A Terceiro Mestre","Beatriz Correia",2010
2525,"O Grande Imperador","Maurício Cardoso",2013
2526,"A Novo Caminho","Hugo Almeida",2023
2527,"A Pequeno Mestre","Nelson Pires",2022
2528,"O Primeiro Mansao","Fernanda Rocha",2020
2529,"O Último Filosofo","Samuel Nunes",2011
2530,"A Velho Segredo","Camila Cardoso",2017
2531,"A Segundo Segredo","Camila Cardoso",2017
2532,"A Velho Mistério","Tatiana Teixeira",2022
2533,"A Quarto Segredo","Elias Sampaio",2015
2534,"O Primeiro Filosofo","Vitória Teixeira",2018
2535,"O Novo Segredo","Bruno Souza",2016
2536,"O Grande Filosofo","Juliano Melo",2020
2537,"A Último Mistério","Isadora Andrade",2012
2538,"A Quarto Mistério","Hugo Castro",2021
2539,"A Sensasional Filosofo","Valdir Rodrigues",2017
2540,"O Terceiro Casa","Larissa Freitas",2016
2541,"O Pequeno Mansao","Vitória Costa",2022
2542,"O Sensasional Mansao","Evelyn Lima",2022
2543,"O Terceiro Ditador","Diogo Medeiros",2022
2544,"A Segundo Segredo","Simone Tavares",2023
2545,"A Pequeno Sonho","Daniel Pereira",2014
2546,"O Sensasional Tesouro","Paula Almeida",2010
2547,"A Novo Imperador","Fernanda Pinheiro",2023
2548,"O Velho Casa","Larissa Correia",2022
2549,"A Perdido Desafio","Otávio Lopes",2010
2550,"A Quarto Médico","Lauro Lima",2012
2551,"O Segundo Caminho","André Azevedo",2021
2552,"A Novo Mistério","Evelyn Teixeira",2014
2553,"O Terceiro Casa","Gustavo Monteiro",2021
2554,"O Encontrado Mistério","Maitê Fonseca",2013
2555,"A Novo Filosofo","Rafaela Cardoso",2013
2556,"O Novo Tesouro","Vitória Fonseca",2012
2557,"O Novo Médico","Vitor Martins",2016
2558,"A Quarto Casa","Isaac Almeida",2019
2559,"A Grande Ditador","Isabela Azevedo",2014
2560,"O Último Segredo","Diego Martins",2016
2561,"A Novo Jogador","Adriana Ribeiro",2012
2562,"O Segundo Mistério","Luiza Cardoso",2018
2563,"A Segundo Mistério","Aline Machado",2010
2564,"O Perdido Filosofo","João Cavalcanti",2022
2565,"A Segundo Médico","Tatiana Sampaio",2018
2566,"O Quarto Caminho","Nathalia Marques",2023
2567,"A Encontrado Jogador","Davi Coutinho",2023
2568,"A Segundo Filosofo","Natália Batista",2022
2569,"O Sensasional Tesouro","Valdir Carvalho",2015
2570,"O Novo Desafio","Daniel Monteiro",2017
2571,"A Último Jogador","Diogo Batista",2014
2572,"O Perdido Mansao","Ana Neves",2015
2573,"O Terceiro Desafio","Eliane Gomes",2014
2574,"A Primeiro Desafio","Sheila Santos",2022
2575,"A Quarto Mestre","Léo Barros",2022
2576,"O Novo Caminho","Lucas Castro",2021
2577,"A Terceiro Amor","Guilherme Vieira",2023
2578,"O Velho Desafio","Evelyn Pinheiro",2015
2579,"A Terceiro Mistério","Débora Castro",2023
2580,"O Pequeno Segredo","Rafael Souza",2021
2581,"O Novo Destino","Otávio Carvalho",2016
2582,"A Último Amor","Paula Rodrigues",2017
2583,"A Primeiro Caminho","Rodrigo Carvalho",2014
2584,"A Grande Ditador","Isadora Martins",2015
2585,"A Velho Imperador","Stella Neves",2020
2586,"O Velho Jogador","Isadora Lima",2017
2587,"O Quarto Destino","Juliano Lopes",2018
2588,"O Quarto Ditador","Enzo Melo",2015
2589,"A Pequeno Destino","Erick Coutinho",2023
2590,"A Grande Destino","Antônio Ribeiro",2016
2591,"O Grande Filosofo","Clarice Silva",2011
2592,"O Grande Mistério","Rodrigo Martins",2011
2593,"A Último Tesouro","Stella Azevedo",2010
2594,"A Último Caminho","Sabrina Souza",2010
2595,"O Pequeno Médico","Luiza Costa",2018
2596,"O Primeiro Mansao","Cristina Ferreira",2021
2597,"A Perdido Filosofo","Rafaela Barros",2011
2598,"A Segundo Médico","Júlia Sampaio",2018
2599,"O Quarto Médico","Cássio Barros",2016
2600,"O Pequeno Caminho","Aline Machado",2018
2601,"A Primeiro Médico","Gabriela Braga",2011
2602,"A Terceiro Imperador","Gabriela Borges",2018
2603,"O Segundo Destino","Paula Campos",2021
2604,"A Novo Amor","Bianca Araújo",2023
2605,"A Primeiro Amor","Gabriel Martins",2018
2606,"O Segundo Filosofo","Ana Pereira",2021
2607,"O Pequeno Segredo","Eduardo Mendes",2016
2608,"A Terceiro Mistério","Iris Pinheiro",2015
2609,"O Encontrado Caminho","Geraldo Costa",2014
2610,"O Perdido Desafio","Simone Martins",2017
2611,"A Segundo Casa","Erick Cavalcanti",2016
2612,"A Velho Caminho","João Gomes",2015
2613,"O Último Mistério","Sérgio Machado",2011
2614,"A Segundo Casa","Raul Nunes",2010
2615,"O Primeiro Sonho","Débora Fonseca",2010
2616,"O Pequeno Tesouro","Renata Coutinho",2013
2617,"A Quarto Caminho","Marcelo Moura",2020
2618,"O Pequeno Segredo","Priscila Pires",2020
2619,"O Velho Médico","Thiago Nunes",2013
2620,"A Sensasional Filosofo","Renata Moura",2018
2621,"O Primeiro Mestre","Lucas Moura",2019
2622,"A Grande Amor","Giovanna Neves",2013
2623,"O Grande Amor","Daniel Araújo",2019
2624,"A Encontrado Casa","Mônica Correia",2020
2625,"O Terceiro Destino","Elias Santos",2012
2626,"O Segundo Filosofo","Priscila Borges",2021
2627,"O Novo Amor","Ivan Castro",2021
2628,"O Quarto Filosofo","Marcos Marques",2021
2629,"A Quarto Caminho","Maria Araújo",2016
2630,"A Segundo Caminho","Léo Teixeira",2011
2631,"A Quarto Filosofo","Bianca Castro",2013
2632,"O Velho Ditador","Viviane Sampaio",2016
2633,"A Último Ditador","Paulo Gomes",2019
2634,"A Encontrado Mansao","Daniel Barros",2022
2635,"A Último Destino","Giovanna Carvalho",2013
2636,"A Grande Segredo","Gabriel Melo",2023
2637,"A Quarto Jogador","Maurício Ferreira",2023
2638,"O Encontrado Sonho","Ricardo Moura",2016
2639,"A Pequeno Amor","Gabriela Tavares",2013
2640,"A Perdido Sonho","Pedro Rocha",2022
2641,"O Velho Amor","Natália Santos",2022
2642,"A Quarto Mestre","Diogo Cardoso",2013
2643,"A Pequeno Tesouro","Maitê Nunes",2019
2644,"A Grande Mestre","Amanda Borges",2012
2645,"O Terceiro Tesouro","Otávio Azevedo",2017
2646,"A Segundo Sonho","Ivana Cavalcanti",2011
2647,"O Último Desafio","Isaac Dias",2021
2648,"O Terceiro Imperador","Bruno Carvalho",2022
2649,"O Segundo Caminho","Geraldo Ramalho",2023
2650,"O Encontrado Caminho","Diego Pereira",2014
2651,"A Quarto Filosofo","Flávio Araújo",2020
2652,"O Grande Mestre","Flávio Freitas",2010
2653,"O Encontrado Sonho","Fabrício Moura",2010
2654,"A Grande Desafio","Juliano Monteiro",2020
2655,"A Encontrado Mistério","Larissa Barros",2021
2656,"O Segundo Médico","Mônica Leal",2018
2657,"A Segundo Mistério","Tereza Mendes",2015
2658,"O Encontrado Ditador","Daniel Cardoso",2013
2659,"A Segundo Médico","Felipe Teixeira",2020
2660,"O Terceiro Mestre","Francisco Andrade",2019
2661,"O Encontrado Segredo","Clarice Freitas",2019
2662,"O Velho Mansao","Francisco Machado",2017
2663,"O Novo Mistério","Raul Azevedo",2019
2664,"A Velho Casa","Larissa Castro",2018
2665,"A Novo Mestre","Felipe Lopes",2019
2666,"O Último Mistério","Léo Carvalho",2013
2667,"O Encontrado Tesouro","Sandra Coutinho",2011
2668,"O Perdido Casa","Ricardo Gomes",2022
2669,"A Perdido Tesouro","Sandra Lima",2019
2670,"O Primeiro Imperador","Fábio Fonseca",2021
2671,"A Sensasional Casa","Vitória Neves",2021
2672,"A Encontrado Tesouro","Isadora Cardoso",2019
2673,"A Pequeno Mestre","Lívia Medeiros",2019
2674,"A Último Mistério","Vitor Tavares",2020
2675,"A Grande Mestre","Fernanda Vieira",2021
2676,"A Encontrado Filosofo","Raquel Souza",2011
2677,"A Velho Mistério","Vitor Batista",2010
2678,"O Grande Caminho","Paulo Martins",2010
2679,"O Novo Destino","Juliano Lima",2022
2680,"A Perdido Mistério","Hugo Carvalho",2021
2681,"A Quarto Mistério","Evelyn Souza",2021
2682,"O Terceiro Segredo","Mônica Braga",2015
2683,"O Quarto Amor","Igor Rocha",2011
2684,"O Terceiro Mistério","Beatriz Cavalcanti",2015
2685,"O Segundo Mestre","Enzo Medeiros",2023
2686,"O Último Mestre","Erick Martins",2014
2687,"A Novo Filosofo","Felipe Neves",2023
2688,"A Último Segredo","Rebeca Almeida",2016
2689,"O Quarto Amor","Samuel Teixeira",2017
2690,"O Segundo Segredo","Luiza Correia",2021
2691,"O Terceiro Sonho","Natália Vieira",2016
2692,"O Encontrado Segredo","Maurício Souza",2019
2693,"A Segundo Tesouro","Mônica Sampaio",2018
2694,"O Terceiro Segredo","André Santos",2017
2695,"A Último Imperador","Sabrina Costa",2017
2696,"A Quarto Destino","Eduardo Neves",2013
2697,"O Terceiro Amor","Thiago Ribeiro",2020
2698,"O Velho Segredo","Priscila Santos",2013
2699,"A Quarto Casa","Paula Silva",2021
2700,"O Novo Amor","Clarice Leal",2013
2701,"A Encontrado Mestre","Raul Lopes",2016
2702,"A Quarto Casa","Carolina Mendes",2010
2703,"A Pequeno Amor","Raul Silva",2012
2704,"O Segundo Mistério","Ivana Andrade",2011
2705,"A Segundo Imperador","Tereza Medeiros",2016
2706,"O Sensasional Mansao","Raquel Rodrigues",2013
2707,"A Terceiro Segredo","Léo Ramalho",2018
2708,"O Velho Casa","Diogo Fonseca",2016
2709,"A Segundo Desafio","Sabrina Cardoso",2021
2710,"O Pequeno Médico","Maria Cardoso",2021
2711,"A Primeiro Segredo","Simone Braga",2023
2712,"O Encontrado Segredo","Pâmela Sampaio",2020
2713,"A Perdido Jogador","Iris Neves",2022
2714,"O Último Mansao","Paulo Batista",2018
2715,"O Grande Médico","Elaine Monteiro",2017
2716,"A Velho Tesouro","Paula Leal",2018
2717,"O Terceiro Imperador","Marcela Ribeiro",2021
2718,"A Encontrado Destino","Ivana Ramalho",2010
2719,"A Último Mistério","Eduardo Freitas",2020
2720,"A Encontrado Destino","Rafael Fonseca",2013
2721,"O Segundo Mistério","Aline Nunes",2021
2722,"O Sensasional Segredo","Cássio Coutinho",2019
2723,"A Encontrado Desafio","Renata Batista",2014
2724,"O Sensasional Segredo","Sheila Pires",2020
2725,"A Velho Jogador","Sérgio Correia",2018
2726,"A Grande Tesouro","Isadora Marques",2013
2727,"A Terceiro Desafio","Fabrício Carvalho",2018
2728,"A Quarto Destino","Yasmin Oliveira",2019
2729,"O Quarto Mistério","Eduardo Sampaio",2011
2730,"A Sensasional Mansao","Samuel Moura",2022
2731,"O Perdido Jogador","Evelyn Ribeiro",2014
2732,"A Quarto Desafio","Thiago Tavares",2013
2733,"A Pequeno Imperador","Ana Freitas",2013
2734,"A Último Mansao","Cristina Neves",2015
2735,"A Grande Médico","Paula Rodrigues",2014
2736,"A Perdido Imperador","Marcos Batista",2015
2737,"O Segundo Jogador","Isabela Mendes",2022
2738,"O Terceiro Imperador","Guilherme Azevedo",2014
2739,"O Terceiro Destino","Sandra Freitas",2013
2740,"A Pequeno Imperador","Ivan Pinheiro",2021
2741,"O Último Amor","Mônica Barros",2017
2742,"A Primeiro Casa","Priscila Lima",2013
2743,"A Primeiro Ditador","Sabrina Sampaio",2014
2744,"O Pequeno Mansao","Camila Mendes",2020
2745,"O Último Caminho","Sandra Araújo",2015
2746,"O Terceiro Casa","Giovanna Monteiro",2013
2747,"O Perdido Mestre","Tereza Medeiros",2011
2748,"A Velho Casa","Helena Rodrigues",2016
2749,"A Último Destino","Gabriel Oliveira",2012
2750,"O Último Destino","Igor Pinheiro",2021
2751,"A Quarto Casa","Natália Souza",2010
2752,"O Velho Amor","Ricardo Costa",2016
2753,"A Primeiro Jogador","Vanessa Souza",2012
2754,"A Quarto Mansao","Stella Freitas",2011
2755,"O Encontrado Jogador","Vanessa Gomes",2020
2756,"O Perdido Médico","Geraldo Ferreira",2019
2757,"O Quarto Mistério","Nathalia Rodrigues",2018
2758,"O Grande Destino","Valéria Medeiros",2017
2759,"O Sensasional Destino","Isaac Mendes",2017
2760,"O Terceiro Destino","Pâmela Souza",2013
2761,"A Primeiro Filosofo","Natália Monteiro",2019
2762,"O Pequeno Jogador","Raquel Batista",2021
2763,"O Pequeno Mestre","Carlos Teixeira",2022
2764,"O Quarto Tesouro","Rodrigo Freitas",2018
2765,"A Primeiro Sonho","Adriana Vieira",2013
2766,"A Encontrado Casa","Iris Carvalho",2010
2767,"O Velho Destino","Ricardo Pires",2016
2768,"O Novo Desafio","Paula Pinheiro",2016
2769,"A Perdido Ditador","Gustavo Souza",2015
2770,"O Último Médico","João Ferreira",2016
2771,"A Pequeno Casa","Felipe Dias",2010
2772,"A Velho Mansao","Tatiana Nunes",2021
2773,"A Perdido Desafio","Helena Campos",2013
2774,"O Terceiro Sonho","Tereza Vieira",2015
2775,"O Primeiro Mansao","Léo Costa",2019
2776,"O Quarto Mestre","João Azevedo",2013
2777,"O Novo Jogador","Raul Pereira",2020
2778,"O Novo Médico","Beatriz Rocha",2014
2779,"A Segundo Caminho","Ana Coutinho",2019
2780,"O Primeiro Mansao","Stella Araújo",2017
2781,"A Pequeno Casa","Isabela Freitas",2010
2782,"A Sensasional Desafio","Isadora Souza",2021
2783,"O Novo Desafio","Leonardo Silva",2016
2784,"A Velho Caminho","Raul Moura",2022
2785,"A Velho Mistério","Ricardo Batista",2021
2786,"O Novo Jogador","Léo Fonseca",2011
2787,"O Segundo Filosofo","Sabrina Martins",2018
2788,"O Novo Amor","Camila Silva",2018
2789,"A Encontrado Tesouro","Igor Martins",2010
2790,"O Último Segredo","Rafael Araújo",2017
2791,"O Terceiro Casa","Paula Nunes",2010
2792,"A Terceiro Filosofo","Clarice Cavalcanti",2019
2793,"O Novo Filosofo","Beatriz Melo",2010
2794,"A Velho Imperador","Vitor Lopes",2016
2795,"O Quarto Imperador","Igor Ramalho",2010
2796,"O Novo Tesouro","Lauro Correia",2021
2797,"O Perdido Filosofo","João Ferreira",2013
2798,"O Pequeno Casa","Sônia Almeida",2022
2799,"A Perdido Filosofo","Fernanda Barros",2020
2800,"O Velho Amor","Larissa Leal",2022
2801,"A Perdido Mansao","Tereza Rocha",2014
2802,"A Último Amor","Rafael Ramalho",2022
2803,"A Segundo Tesouro","Maria Gomes",2017
2804,"O Grande Caminho","Simone Batista",2015
2805,"A Quarto Segredo","Amanda Araújo",2012
2806,"A Quarto Tesouro","Léo Nunes",2013
2807,"O Novo Caminho","Rafaela Tavares",2011
2808,"O Grande Sonho","Yasmin Ribeiro",2018
2809,"O Último Mansao","Vitor Cardoso",2016
2810,"A Velho Mansao","Aline Campos",2023
2811,"A Perdido Destino","Leonardo Silva",2014
2812,"A Velho Médico","Cristina Lopes",2015
2813,"O Novo Mistério","Gabriela Vieira",2010
2814,"A Último Mansao","Beatriz Coutinho",2019
2815,"A Grande Desafio","Larissa Ribeiro",2011
2816,"O Encontrado Ditador","Sônia Ribeiro",2021
2817,"A Encontrado Desafio","Priscila Correia",2017
2818,"A Primeiro Segredo","Maurício Carvalho",2020
2819,"A Sensasional Casa","Júlia Rocha",2016
2820,"O Quarto Segredo","Aline Moura",2022
2821,"A Sensasional Ditador","Otávio Carvalho",2020
2822,"A Velho Médico","Lívia Pereira",2020
2823,"O Último Caminho","Carolina Correia",2010
2824,"A Grande Jogador","Ivan Tavares",2018
2825,"O Quarto Mestre","Camila Sampaio",2014
2826,"O Encontrado Destino","Larissa Nunes",2010
2827,"A Quarto Amor","Mônica Pereira",2014
2828,"A Sensasional Segredo","Sabrina Lima",2014
2829,"A Velho Mansao","Juliano Rocha",2011
2830,"O Novo Mestre","Tereza Neves",2015
2831,"O Pequeno Casa","Elias Carvalho",2022
2832,"O Novo Mestre","Maurício Ferreira",2020
2833,"A Quarto Segredo","Evelyn Batista",2022
2834,"O Perdido Tesouro","Francisco Silva",2012
2835,"A Pequeno Amor","Nathalia Tavares",2016
2836,"A Sensasional Ditador","Cristina Correia",2010
2837,"A Segundo Médico","Vitor Ribeiro",2019
2838,"O Pequeno Jogador","Adriana Ribeiro",2023
2839,"O Velho Jogador","Eliane Costa",2023
2840,"O Primeiro Ditador","Vitória Pinheiro",2022
2841,"A Terceiro Sonho","Roberta Sampaio",2013
2842,"O Perdido Mestre","Maria Braga",2010
2843,"A Terceiro Mestre","Guilherme Correia",2018
2844,"A Último Casa","Iris Barros",2012
2845,"A Terceiro Mistério","Elias Santos",2014
2846,"O Perdido Desafio","José Martins",2018
2847,"A Encontrado Mansao","Sérgio Melo",2022
2848,"O Encontrado Segredo","Otávio Melo",2010
2849,"O Encontrado Casa","Rodrigo Moura",2014
2850,"A Velho Ditador","Luiza Costa",2012
2851,"O Sensasional Casa","Sabrina Marques",2021
2852,"O Quarto Mansao","Nicole Gomes",2013
2853,"A Terceiro Mansao","Sandra Melo",2013
2854,"A Primeiro Médico","Alice Nunes",2020
2855,"A Perdido Sonho","Roberta Ramalho",2013
2856,"A Terceiro Segredo","Luiza Medeiros",2017
2857,"O Encontrado Sonho","André Pereira",2018
2858,"A Grande Casa","Flávio Cardoso",2019
2859,"A Terceiro Médico","Gabriela Cavalcanti",2020
2860,"O Velho Mistério","Antônio Ribeiro",2010
2861,"A Terceiro Destino","Tereza Vieira",2015
2862,"A Encontrado Desafio","Bruno Azevedo",2022
2863,"A Novo Casa","Flávio Nunes",2010
2864,"A Primeiro Desafio","Pedro Batista",2014
2865,"A Novo Desafio","Sandra Ramalho",2019
2866,"O Perdido Tesouro","Diego Mendes",2022
2867,"A Primeiro Casa","Thiago Borges",2021
2868,"A Grande Médico","Nelson Tavares",2022
2869,"A Sensasional Médico","Cássio Andrade",2019
2870,"O Sensasional Tesouro","Sabrina Ribeiro",2016
2871,"A Primeiro Casa","Clarice Souza",2014
2872,"O Quarto Tesouro","Davi Mendes",2015
2873,"A Primeiro Destino","Ana Medeiros",2014
2874,"O Novo Filosofo","Juliano Lima",2019
2875,"O Primeiro Desafio","Gustavo Castro",2019
2876,"O Novo Médico","João Borges",2013
2877,"A Segundo Mansao","Amanda Teixeira",2014
2878,"O Velho Imperador","Leonardo Araújo",2020
2879,"O Terceiro Mistério","Helena Ribeiro",2014
2880,"O Quarto Ditador","João Almeida",2015
2881,"A Pequeno Mestre","Samuel Barros",2016
2882,"O Quarto Médico","Rosana Rodrigues",2014
2883,"O Sensasional Mestre","Lucas Moura",2013
2884,"O Velho Ditador","Cristina Leal",2020
2885,"A Segundo Jogador","Carlos Cardoso",2022
2886,"A Velho Sonho","Gabriel Borges",2018
2887,"O Sensasional Jogador","Giovanna Campos",2014
2888,"O Encontrado Mistério","Bruno Nunes",2020
2889,"A Último Mestre","Francisco Lopes",2014
2890,"O Segundo Amor","Ivan Ferreira",2017
2891,"A Pequeno Mansao","Erick Costa",2018
2892,"O Perdido Tesouro","Marcos Cardoso",2015
2893,"A Sensasional Mestre","Paula Souza",2018
2894,"A Perdido Mestre","Lucas Medeiros",2017
2895,"A Pequeno Mestre","Amanda Oliveira",2012
2896,"A Perdido Destino","Cristina Campos",2020
2897,"O Sensasional Mestre","Gabriela Pereira",2019
2898,"A Sensasional Mestre","Rafael Rodrigues",2023
2899,"A Segundo Tesouro","Pedro Braga",2013
2900,"A Grande Mistério","Maria Andrade",2023
2901,"O Último Jogador","Marcos Correia",2015
2902,"O Novo Ditador","Iris Marques",2014
2903,"O Grande Casa","João Pires",2011
2904,"O Novo Ditador","Giovanna Pinheiro",2015
2905,"O Pequeno Sonho","Otávio Andrade",2011
2906,"O Novo Mistério","Igor Marques",2019
2907,"A Primeiro Amor","Léo Borges",2020
2908,"O Grande Mistério","Raul Tavares",2012
2909,"A Encontrado Tesouro","Hugo Castro",2022
2910,"A Encontrado Mestre","Rafael Lopes",2018
2911,"O Terceiro Tesouro","Simone Cardoso",2019
2912,"O Pequeno Sonho","Sandra Rocha",2020
2913,"O Quarto Amor","Sheila Almeida",2016
2914,"A Último Mansao","Bruno Sampaio",2016
2915,"O Novo Jogador","Amanda Andrade",2014
2916,"A Velho Mestre","Maurício Freitas",2018
2917,"A Novo Amor","Rodrigo Azevedo",2011
2918,"A Velho Desafio","Helena Andrade",2018
2919,"O Perdido Mansao","Mariana Teixeira",2020
2920,"O Perdido Mansao","Clarice Tavares",2019
2921,"A Velho Filosofo","Bianca Gomes",2020
2922,"A Novo Ditador","Raquel Coutinho",2022
2923,"A Novo Segredo","Raul Rocha",2020
2924,"O Primeiro Mestre","Samuel Braga",2017
2925,"A Segundo Médico","Aline Freitas",2014
2926,"A Velho Segredo","Enzo Barros",2016
2927,"O Terceiro Caminho","Rafael Carvalho",2020
2928,"O Sensasional Tesouro","Felipe Lima",2018
2929,"O Encontrado Desafio","Carlos Campos",2019
2930,"A Novo Ditador","Iris Correia",2011
2931,"O Segundo Médico","Diogo Batista",2021
2932,"O Velho Imperador","Simone Ramalho",2011
2933,"A Terceiro Casa","Gabriela Oliveira",2021
2934,"A Perdido Sonho","Francisco Melo",2015
2935,"A Sensasional Jogador","Beatriz Teixeira",2010
2936,"A Grande Mestre","Diego Andrade",2014
2937,"A Segundo Destino","Diogo Coutinho",2010
2938,"A Velho Amor","Renata Ferreira",2020
2939,"O Grande Segredo","Leonardo Marques",2023
2940,"O Último Ditador","Ivana Andrade",2023
2941,"A Sensasional Jogador","Juliano Coutinho",2020
2942,"A Velho Tesouro","Giovanna Teixeira",2020
2943,"A Primeiro Sonho","Vitor Lima",2012
2944,"A Último Destino","Nicole Lopes",2020
2945,"A Grande Ditador","Luiza Coutinho",2019
2946,"A Perdido Mansao","Guilherme Lima",2018
2947,"A Quarto Amor","Rosana Araújo",2010
2948,"O Sensasional Caminho","Rosana Costa",2023
2949,"O Sensasional Mansao","Patrícia Castro",2021
2950,"O Grande Filosofo","Marcela Castro",2020
2951,"O Quarto Imperador","Raquel Fonseca",2011
2952,"O Novo Imperador","André Almeida",2018
2953,"O Primeiro Médico","Aline Medeiros",2017
2954,"A Primeiro Mansao","Tereza Martins",2010
2955,"A Encontrado Tesouro","Yasmin Machado",2018
2956,"A Pequeno Mistério","Isaac Teixeira",2014
2957,"O Encontrado Jogador","Marcelo Azevedo",2022
2958,"O Pequeno Caminho","Valéria Ramalho",2010
2959,"O Terceiro Mansao","Cristina Braga",2023
2960,"A Grande Filosofo","Francisco Pires",2012
2961,"A Primeiro Tesouro","Marcela Pires",2010
2962,"A Terceiro Amor","Nelson Teixeira",2015
2963,"A Perdido Amor","Otávio Barros",2010
2964,"O Grande Amor","Davi Monteiro",2019
2965,"A Velho Amor","Eliane Nunes",2012
2966,"A Último Mestre","Enzo Medeiros",2018
2967,"O Velho Tesouro","Ivana Melo",2017
2968,"O Perdido Médico","Lívia Carvalho",2015
2969,"O Sensasional Caminho","Alice Carvalho",2018
2970,"O Terceiro Amor","Rafaela Rodrigues",2015
2971,"O Encontrado Segredo","Marcelo Freitas",2016
2972,"O Segundo Amor","João Moura",2019
2973,"A Encontrado Médico","Tereza Mendes",2010
